id,name,zone,x,y,description,exits,enemy_id,shop_item_ids
-7_-47,焦黑的土地,wasteland,-7,-47,這裡寸草不生，只有死亡與危險。,,mob_orc,
-6_-47,荒蕪之地,wasteland,-6,-47,這裡寸草不生，只有死亡與危險。,,mob_orc,
-5_-47,荒蕪之地,wasteland,-5,-47,這裡寸草不生，只有死亡與危險。,,,
-4_-47,龜裂的大地,wasteland,-4,-47,這裡寸草不生，只有死亡與危險。,,mob_troll,
-3_-47,龜裂的大地,wasteland,-3,-47,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
-2_-47,被遺忘的戰場,wasteland,-2,-47,這裡寸草不生，只有死亡與危險。,,,
-1_-47,焦黑的土地,wasteland,-1,-47,這裡寸草不生，只有死亡與危險。,,mob_troll,
0_-47,白骨堆,wasteland,0,-47,這裡寸草不生，只有死亡與危險。,,,
1_-47,龜裂的大地,wasteland,1,-47,這裡寸草不生，只有死亡與危險。,,mob_orc,
2_-47,荒蕪之地,wasteland,2,-47,這裡寸草不生，只有死亡與危險。,,,
3_-47,白骨堆,wasteland,3,-47,這裡寸草不生，只有死亡與危險。,,mob_troll,
4_-47,焦黑的土地,wasteland,4,-47,這裡寸草不生，只有死亡與危險。,,,
5_-47,白骨堆,wasteland,5,-47,這裡寸草不生，只有死亡與危險。,,mob_orc,
6_-47,焦黑的土地,wasteland,6,-47,這裡寸草不生，只有死亡與危險。,,mob_orc,
7_-47,荒蕪之地,wasteland,7,-47,這裡寸草不生，只有死亡與危險。,,mob_orc,
8_-47,白骨堆,wasteland,8,-47,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
9_-47,荒蕪之地,wasteland,9,-47,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
10_-47,白骨堆,wasteland,10,-47,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
-10_-46,被遺忘的戰場,wasteland,-10,-46,這裡寸草不生，只有死亡與危險。,,,
-9_-46,白骨堆,wasteland,-9,-46,這裡寸草不生，只有死亡與危險。,,mob_troll,
-8_-46,白骨堆,wasteland,-8,-46,這裡寸草不生，只有死亡與危險。,,,
-7_-46,焦黑的土地,wasteland,-7,-46,這裡寸草不生，只有死亡與危險。,,,
-6_-46,龜裂的大地,wasteland,-6,-46,這裡寸草不生，只有死亡與危險。,,,
-5_-46,荒蕪之地,wasteland,-5,-46,這裡寸草不生，只有死亡與危險。,,mob_troll,
-4_-46,龜裂的大地,wasteland,-4,-46,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
-3_-46,焦黑的土地,wasteland,-3,-46,這裡寸草不生，只有死亡與危險。,,mob_troll,
-2_-46,荒蕪之地,wasteland,-2,-46,這裡寸草不生，只有死亡與危險。,,,
-1_-46,被遺忘的戰場,wasteland,-1,-46,這裡寸草不生，只有死亡與危險。,,,
0_-46,荒蕪之地,wasteland,0,-46,這裡寸草不生，只有死亡與危險。,,mob_troll,
1_-46,龜裂的大地,wasteland,1,-46,這裡寸草不生，只有死亡與危險。,,mob_troll,
2_-46,被遺忘的戰場,wasteland,2,-46,這裡寸草不生，只有死亡與危險。,,,
3_-46,白骨堆,wasteland,3,-46,這裡寸草不生，只有死亡與危險。,,mob_troll,
4_-46,被遺忘的戰場,wasteland,4,-46,這裡寸草不生，只有死亡與危險。,,,
5_-46,白骨堆,wasteland,5,-46,這裡寸草不生，只有死亡與危險。,,,
6_-46,龜裂的大地,wasteland,6,-46,這裡寸草不生，只有死亡與危險。,,mob_orc,
7_-46,龜裂的大地,wasteland,7,-46,這裡寸草不生，只有死亡與危險。,,,
8_-46,焦黑的土地,wasteland,8,-46,這裡寸草不生，只有死亡與危險。,,,
9_-46,白骨堆,wasteland,9,-46,這裡寸草不生，只有死亡與危險。,,mob_orc,
10_-46,白骨堆,wasteland,10,-46,這裡寸草不生，只有死亡與危險。,,,
-10_-45,焦黑的土地,wasteland,-10,-45,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
-9_-45,焦黑的土地,wasteland,-9,-45,這裡寸草不生，只有死亡與危險。,,,
-8_-45,龜裂的大地,wasteland,-8,-45,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
-7_-45,荒蕪之地,wasteland,-7,-45,這裡寸草不生，只有死亡與危險。,,mob_troll,
-6_-45,白骨堆,wasteland,-6,-45,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
-5_-45,被遺忘的戰場,wasteland,-5,-45,這裡寸草不生，只有死亡與危險。,,mob_troll,
-4_-45,荒蕪之地,wasteland,-4,-45,這裡寸草不生，只有死亡與危險。,,,
-3_-45,白骨堆,wasteland,-3,-45,這裡寸草不生，只有死亡與危險。,,mob_orc,
-2_-45,龜裂的大地,wasteland,-2,-45,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
-1_-45,焦黑的土地,wasteland,-1,-45,這裡寸草不生，只有死亡與危險。,,,
0_-45,荒蕪之地,wasteland,0,-45,這裡寸草不生，只有死亡與危險。,,mob_troll,
1_-45,龜裂的大地,wasteland,1,-45,這裡寸草不生，只有死亡與危險。,,mob_troll,
2_-45,荒蕪之地,wasteland,2,-45,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
3_-45,被遺忘的戰場,wasteland,3,-45,這裡寸草不生，只有死亡與危險。,,mob_orc,
4_-45,龜裂的大地,wasteland,4,-45,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
5_-45,白骨堆,wasteland,5,-45,這裡寸草不生，只有死亡與危險。,,mob_orc,
6_-45,被遺忘的戰場,wasteland,6,-45,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
7_-45,被遺忘的戰場,wasteland,7,-45,這裡寸草不生，只有死亡與危險。,,,
8_-45,焦黑的土地,wasteland,8,-45,這裡寸草不生，只有死亡與危險。,,,
9_-45,被遺忘的戰場,wasteland,9,-45,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
10_-45,荒蕪之地,wasteland,10,-45,這裡寸草不生，只有死亡與危險。,,,
-10_-44,焦黑的土地,wasteland,-10,-44,這裡寸草不生，只有死亡與危險。,,mob_orc,
-9_-44,被遺忘的戰場,wasteland,-9,-44,這裡寸草不生，只有死亡與危險。,,,
-8_-44,焦黑的土地,wasteland,-8,-44,這裡寸草不生，只有死亡與危險。,,mob_troll,
-7_-44,龜裂的大地,wasteland,-7,-44,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
-6_-44,白骨堆,wasteland,-6,-44,這裡寸草不生，只有死亡與危險。,,mob_troll,
-5_-44,荒蕪之地,wasteland,-5,-44,這裡寸草不生，只有死亡與危險。,,mob_troll,
-4_-44,白骨堆,wasteland,-4,-44,這裡寸草不生，只有死亡與危險。,,mob_orc,
-3_-44,龜裂的大地,wasteland,-3,-44,這裡寸草不生，只有死亡與危險。,,,
-2_-44,白骨堆,wasteland,-2,-44,這裡寸草不生，只有死亡與危險。,,,
-1_-44,焦黑的土地,wasteland,-1,-44,這裡寸草不生，只有死亡與危險。,,mob_troll,
0_-44,被遺忘的戰場,wasteland,0,-44,這裡寸草不生，只有死亡與危險。,,mob_orc,
1_-44,白骨堆,wasteland,1,-44,這裡寸草不生，只有死亡與危險。,,,
2_-44,白骨堆,wasteland,2,-44,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
3_-44,荒蕪之地,wasteland,3,-44,這裡寸草不生，只有死亡與危險。,,mob_orc,
4_-44,荒蕪之地,wasteland,4,-44,這裡寸草不生，只有死亡與危險。,,,
5_-44,龜裂的大地,wasteland,5,-44,這裡寸草不生，只有死亡與危險。,,,
6_-44,荒蕪之地,wasteland,6,-44,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
7_-44,焦黑的土地,wasteland,7,-44,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
8_-44,白骨堆,wasteland,8,-44,這裡寸草不生，只有死亡與危險。,,,
9_-44,焦黑的土地,wasteland,9,-44,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
10_-44,白骨堆,wasteland,10,-44,這裡寸草不生，只有死亡與危險。,,mob_troll,
-10_-43,焦黑的土地,wasteland,-10,-43,這裡寸草不生，只有死亡與危險。,,mob_orc,
-9_-43,荒蕪之地,wasteland,-9,-43,這裡寸草不生，只有死亡與危險。,,,
-8_-43,荒蕪之地,wasteland,-8,-43,這裡寸草不生，只有死亡與危險。,,,
-7_-43,龜裂的大地,wasteland,-7,-43,這裡寸草不生，只有死亡與危險。,,,
-6_-43,被遺忘的戰場,wasteland,-6,-43,這裡寸草不生，只有死亡與危險。,,,
-5_-43,焦黑的土地,wasteland,-5,-43,這裡寸草不生，只有死亡與危險。,,,
-4_-43,荒蕪之地,wasteland,-4,-43,這裡寸草不生，只有死亡與危險。,,mob_orc,
-3_-43,龜裂的大地,wasteland,-3,-43,這裡寸草不生，只有死亡與危險。,,mob_orc,
-2_-43,白骨堆,wasteland,-2,-43,這裡寸草不生，只有死亡與危險。,,mob_orc,
-1_-43,白骨堆,wasteland,-1,-43,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
0_-43,焦黑的土地,wasteland,0,-43,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
1_-43,龜裂的大地,wasteland,1,-43,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
2_-43,荒蕪之地,wasteland,2,-43,這裡寸草不生，只有死亡與危險。,,,
3_-43,龜裂的大地,wasteland,3,-43,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
4_-43,白骨堆,wasteland,4,-43,這裡寸草不生，只有死亡與危險。,,mob_troll,
5_-43,焦黑的土地,wasteland,5,-43,這裡寸草不生，只有死亡與危險。,,mob_troll,
6_-43,白骨堆,wasteland,6,-43,這裡寸草不生，只有死亡與危險。,,,
7_-43,龜裂的大地,wasteland,7,-43,這裡寸草不生，只有死亡與危險。,,,
8_-43,白骨堆,wasteland,8,-43,這裡寸草不生，只有死亡與危險。,,mob_orc,
9_-43,龜裂的大地,wasteland,9,-43,這裡寸草不生，只有死亡與危險。,,,
10_-43,荒蕪之地,wasteland,10,-43,這裡寸草不生，只有死亡與危險。,,,
-10_-42,被遺忘的戰場,wasteland,-10,-42,這裡寸草不生，只有死亡與危險。,,,
-9_-42,被遺忘的戰場,wasteland,-9,-42,這裡寸草不生，只有死亡與危險。,,,
-8_-42,白骨堆,wasteland,-8,-42,這裡寸草不生，只有死亡與危險。,,mob_orc,
-7_-42,龜裂的大地,wasteland,-7,-42,這裡寸草不生，只有死亡與危險。,,mob_orc,
-6_-42,荒蕪之地,wasteland,-6,-42,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
-5_-42,荒蕪之地,wasteland,-5,-42,這裡寸草不生，只有死亡與危險。,,mob_troll,
-4_-42,荒蕪之地,wasteland,-4,-42,這裡寸草不生，只有死亡與危險。,,mob_troll,
-3_-42,龜裂的大地,wasteland,-3,-42,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
-2_-42,龜裂的大地,wasteland,-2,-42,這裡寸草不生，只有死亡與危險。,,,
-1_-42,白骨堆,wasteland,-1,-42,這裡寸草不生，只有死亡與危險。,,,
0_-42,龜裂的大地,wasteland,0,-42,這裡寸草不生，只有死亡與危險。,,,
1_-42,被遺忘的戰場,wasteland,1,-42,這裡寸草不生，只有死亡與危險。,,mob_troll,
2_-42,龜裂的大地,wasteland,2,-42,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
3_-42,焦黑的土地,wasteland,3,-42,這裡寸草不生，只有死亡與危險。,,,
4_-42,荒蕪之地,wasteland,4,-42,這裡寸草不生，只有死亡與危險。,,,
5_-42,白骨堆,wasteland,5,-42,這裡寸草不生，只有死亡與危險。,,,
6_-42,龜裂的大地,wasteland,6,-42,這裡寸草不生，只有死亡與危險。,,,
7_-42,焦黑的土地,wasteland,7,-42,這裡寸草不生，只有死亡與危險。,,,
8_-42,荒蕪之地,wasteland,8,-42,這裡寸草不生，只有死亡與危險。,,,
9_-42,焦黑的土地,wasteland,9,-42,這裡寸草不生，只有死亡與危險。,,,
10_-42,龜裂的大地,wasteland,10,-42,這裡寸草不生，只有死亡與危險。,,mob_orc,
-10_-41,荒蕪之地,wasteland,-10,-41,這裡寸草不生，只有死亡與危險。,,mob_orc,
-9_-41,荒蕪之地,wasteland,-9,-41,這裡寸草不生，只有死亡與危險。,,mob_troll,
-8_-41,荒蕪之地,wasteland,-8,-41,這裡寸草不生，只有死亡與危險。,,,
-7_-41,荒蕪之地,wasteland,-7,-41,這裡寸草不生，只有死亡與危險。,,,
-6_-41,白骨堆,wasteland,-6,-41,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
-5_-41,龜裂的大地,wasteland,-5,-41,這裡寸草不生，只有死亡與危險。,,,
-4_-41,白骨堆,wasteland,-4,-41,這裡寸草不生，只有死亡與危險。,,mob_troll,
-3_-41,被遺忘的戰場,wasteland,-3,-41,這裡寸草不生，只有死亡與危險。,,,
-2_-41,被遺忘的戰場,wasteland,-2,-41,這裡寸草不生，只有死亡與危險。,,mob_troll,
-1_-41,焦黑的土地,wasteland,-1,-41,這裡寸草不生，只有死亡與危險。,,mob_orc,
0_-41,被遺忘的戰場,wasteland,0,-41,這裡寸草不生，只有死亡與危險。,,,
1_-41,龜裂的大地,wasteland,1,-41,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
2_-41,龜裂的大地,wasteland,2,-41,這裡寸草不生，只有死亡與危險。,,mob_orc,
3_-41,龜裂的大地,wasteland,3,-41,這裡寸草不生，只有死亡與危險。,,,
4_-41,荒蕪之地,wasteland,4,-41,這裡寸草不生，只有死亡與危險。,,,
5_-41,焦黑的土地,wasteland,5,-41,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
6_-41,焦黑的土地,wasteland,6,-41,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
7_-41,焦黑的土地,wasteland,7,-41,這裡寸草不生，只有死亡與危險。,,mob_troll,
8_-41,龜裂的大地,wasteland,8,-41,這裡寸草不生，只有死亡與危險。,,,
9_-41,荒蕪之地,wasteland,9,-41,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
10_-41,荒蕪之地,wasteland,10,-41,這裡寸草不生，只有死亡與危險。,,mob_orc,
-10_-40,龜裂的大地,wasteland,-10,-40,這裡寸草不生，只有死亡與危險。,,mob_troll,
-9_-40,被遺忘的戰場,wasteland,-9,-40,這裡寸草不生，只有死亡與危險。,,mob_troll,
-8_-40,被遺忘的戰場,wasteland,-8,-40,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
-7_-40,龜裂的大地,wasteland,-7,-40,這裡寸草不生，只有死亡與危險。,,,
-6_-40,白骨堆,wasteland,-6,-40,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
-5_-40,白骨堆,wasteland,-5,-40,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
-4_-40,白骨堆,wasteland,-4,-40,這裡寸草不生，只有死亡與危險。,,,
-3_-40,荒蕪之地,wasteland,-3,-40,這裡寸草不生，只有死亡與危險。,,mob_orc,
-2_-40,焦黑的土地,wasteland,-2,-40,這裡寸草不生，只有死亡與危險。,,,
-1_-40,龜裂的大地,wasteland,-1,-40,這裡寸草不生，只有死亡與危險。,,,
0_-40,龜裂的大地,wasteland,0,-40,這裡寸草不生，只有死亡與危險。,,,
1_-40,焦黑的土地,wasteland,1,-40,這裡寸草不生，只有死亡與危險。,,mob_troll,
2_-40,龜裂的大地,wasteland,2,-40,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
3_-40,焦黑的土地,wasteland,3,-40,這裡寸草不生，只有死亡與危險。,,,
4_-40,被遺忘的戰場,wasteland,4,-40,這裡寸草不生，只有死亡與危險。,,,
5_-40,白骨堆,wasteland,5,-40,這裡寸草不生，只有死亡與危險。,,mob_troll,
6_-40,龜裂的大地,wasteland,6,-40,這裡寸草不生，只有死亡與危險。,,mob_orc,
7_-40,白骨堆,wasteland,7,-40,這裡寸草不生，只有死亡與危險。,,mob_orc,
8_-40,白骨堆,wasteland,8,-40,這裡寸草不生，只有死亡與危險。,,,
9_-40,龜裂的大地,wasteland,9,-40,這裡寸草不生，只有死亡與危險。,,mob_troll,
10_-40,龜裂的大地,wasteland,10,-40,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
-10_-39,荒蕪之地,wasteland,-10,-39,這裡寸草不生，只有死亡與危險。,,,
-9_-39,龜裂的大地,wasteland,-9,-39,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
-8_-39,龜裂的大地,wasteland,-8,-39,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
-7_-39,白骨堆,wasteland,-7,-39,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
-6_-39,焦黑的土地,wasteland,-6,-39,這裡寸草不生，只有死亡與危險。,,,
-5_-39,被遺忘的戰場,wasteland,-5,-39,這裡寸草不生，只有死亡與危險。,,mob_orc,
-4_-39,荒蕪之地,wasteland,-4,-39,這裡寸草不生，只有死亡與危險。,,,
-3_-39,龜裂的大地,wasteland,-3,-39,這裡寸草不生，只有死亡與危險。,,,
-2_-39,白骨堆,wasteland,-2,-39,這裡寸草不生，只有死亡與危險。,,,
-1_-39,被遺忘的戰場,wasteland,-1,-39,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
0_-39,被遺忘的戰場,wasteland,0,-39,這裡寸草不生，只有死亡與危險。,,mob_orc,
1_-39,被遺忘的戰場,wasteland,1,-39,這裡寸草不生，只有死亡與危險。,,,
2_-39,龜裂的大地,wasteland,2,-39,這裡寸草不生，只有死亡與危險。,,mob_troll,
3_-39,荒蕪之地,wasteland,3,-39,這裡寸草不生，只有死亡與危險。,,,
4_-39,焦黑的土地,wasteland,4,-39,這裡寸草不生，只有死亡與危險。,,mob_orc,
5_-39,荒蕪之地,wasteland,5,-39,這裡寸草不生，只有死亡與危險。,,,
6_-39,荒蕪之地,wasteland,6,-39,這裡寸草不生，只有死亡與危險。,,,
7_-39,荒蕪之地,wasteland,7,-39,這裡寸草不生，只有死亡與危險。,,,
8_-39,荒蕪之地,wasteland,8,-39,這裡寸草不生，只有死亡與危險。,,mob_troll,
9_-39,荒蕪之地,wasteland,9,-39,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
10_-39,白骨堆,wasteland,10,-39,這裡寸草不生，只有死亡與危險。,,,
-10_-38,龜裂的大地,wasteland,-10,-38,這裡寸草不生，只有死亡與危險。,,,
-9_-38,焦黑的土地,wasteland,-9,-38,這裡寸草不生，只有死亡與危險。,,mob_troll,
-8_-38,白骨堆,wasteland,-8,-38,這裡寸草不生，只有死亡與危險。,,mob_troll,
-7_-38,龜裂的大地,wasteland,-7,-38,這裡寸草不生，只有死亡與危險。,,,
-6_-38,焦黑的土地,wasteland,-6,-38,這裡寸草不生，只有死亡與危險。,,,
-5_-38,白骨堆,wasteland,-5,-38,這裡寸草不生，只有死亡與危險。,,,
-4_-38,龜裂的大地,wasteland,-4,-38,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
-3_-38,焦黑的土地,wasteland,-3,-38,這裡寸草不生，只有死亡與危險。,,,
-2_-38,白骨堆,wasteland,-2,-38,這裡寸草不生，只有死亡與危險。,,,
-1_-38,荒蕪之地,wasteland,-1,-38,這裡寸草不生，只有死亡與危險。,,mob_orc,
0_-38,白骨堆,wasteland,0,-38,這裡寸草不生，只有死亡與危險。,,mob_troll,
1_-38,荒蕪之地,wasteland,1,-38,這裡寸草不生，只有死亡與危險。,,,
2_-38,焦黑的土地,wasteland,2,-38,這裡寸草不生，只有死亡與危險。,,,
3_-38,白骨堆,wasteland,3,-38,這裡寸草不生，只有死亡與危險。,,mob_orc,
4_-38,龜裂的大地,wasteland,4,-38,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
5_-38,焦黑的土地,wasteland,5,-38,這裡寸草不生，只有死亡與危險。,,,
6_-38,荒蕪之地,wasteland,6,-38,這裡寸草不生，只有死亡與危險。,,mob_troll,
7_-38,焦黑的土地,wasteland,7,-38,這裡寸草不生，只有死亡與危險。,,,
8_-38,荒蕪之地,wasteland,8,-38,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
9_-38,荒蕪之地,wasteland,9,-38,這裡寸草不生，只有死亡與危險。,,,
10_-38,龜裂的大地,wasteland,10,-38,這裡寸草不生，只有死亡與危險。,,,
-10_-37,焦黑的土地,wasteland,-10,-37,這裡寸草不生，只有死亡與危險。,,,
-9_-37,焦黑的土地,wasteland,-9,-37,這裡寸草不生，只有死亡與危險。,,mob_troll,
-8_-37,龜裂的大地,wasteland,-8,-37,這裡寸草不生，只有死亡與危險。,,mob_troll,
-7_-37,白骨堆,wasteland,-7,-37,這裡寸草不生，只有死亡與危險。,,mob_troll,
-6_-37,被遺忘的戰場,wasteland,-6,-37,這裡寸草不生，只有死亡與危險。,,mob_troll,
-5_-37,白骨堆,wasteland,-5,-37,這裡寸草不生，只有死亡與危險。,,,
-4_-37,白骨堆,wasteland,-4,-37,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
-3_-37,龜裂的大地,wasteland,-3,-37,這裡寸草不生，只有死亡與危險。,,,
-2_-37,被遺忘的戰場,wasteland,-2,-37,這裡寸草不生，只有死亡與危險。,,mob_troll,
-1_-37,焦黑的土地,wasteland,-1,-37,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
0_-37,白骨堆,wasteland,0,-37,這裡寸草不生，只有死亡與危險。,,mob_skeleton,
